id,name,coordinate_status,booth_location,candidate_longitude,candidate_latitude,anchor_kind,anchor,constraint_distance_m,secondary_named_anchor,secondary_named_distance_m,secondary_identity_anchor,secondary_identity_match_class,secondary_identity_distance_m,secondary_identity_url,location_check,publication_decision
12742.1,1919 Root Beer,verified,Southeast corner of Dan Patch Ave. & Underwood St. outside The Garden,-93.1703352,44.9809803,street_corner,Dan Patch Avenue & Underwood Street,22.0,Treasure Island | The Garden,8.5,1919 Root Beer,exact_named_place,2.1,https://www.openstreetmap.org/node/7223510632,manual_review_15_to_30m,retain_verified
2114.1,3B Fresh Squeezed Lemonade & Foot Long Corn Dogs,approximate,West side of Liggett St. between Carnes & Judson avenues,-93.1754730684,44.9787608639,street_segment,Liggett Street between Carnes Avenue and Judson Avenue,9.0,,,Corn,no_named_place_match,832.4,https://www.openstreetmap.org/node/12148877487,consistent_with_written_location,manual_evidence_required
6135.1,About a Foot Long Hot Dog,approximate,Southwest corner of Carnes Ave. & Nelson St.,-93.1722724005,44.979795668,street_corner,Carnes Avenue & Nelson Street,17.2,,,About a Foot Long Hot Dog,ambiguous_vendor_identity,263.2,https://www.openstreetmap.org/node/13084655197,manual_review_15_to_30m,manual_evidence_required
6449.1,About a Foot Long Hot Dog,approximate,"South side of Judson Ave. between Liggett & Clough streets, in front of the Lee & Rose Warner Coliseum",-93.1738553,44.978449884892,street_segment,Judson Avenue between Liggett Street and Clough Street,15.2,Lee & Rose Warner Coliseum,1.5,About a Foot Long Hot Dog,ambiguous_vendor_identity,452.4,https://www.openstreetmap.org/node/13084655197,manual_review_15_to_30m,manual_evidence_required
9642.1,About a Foot Long Hot Dog,approximate,East side of Cosgrove St. between the Fine Arts Center & 4-H Building,-93.168036,44.9839827,named_place_or_building,Fine Arts Center,17.5,,,About a Foot Long Hot Dog,ambiguous_vendor_identity,343.4,https://www.openstreetmap.org/node/13084655197,manual_review_15_to_30m,manual_evidence_required
9642.2,About a Foot Long Hot Dog,approximate,Northwest corner of Dan Patch Ave. & Cooper St.,-93.1692872432,44.981206432,street_corner,Dan Patch Avenue & Cooper Street,14.1,,,About a Foot Long Hot Dog,ambiguous_vendor_identity,20.4,https://www.openstreetmap.org/node/13084655197,consistent_with_written_location,manual_evidence_required
6449.2,About a Foot Long Hot Dog,approximate,Southeast corner of Judson Ave. & Underwood St.,-93.1704258568,44.978478168,street_corner,Judson Avenue & Underwood Street,14.1,,,About a Foot Long Hot Dog,ambiguous_vendor_identity,297.3,https://www.openstreetmap.org/node/13084655197,consistent_with_written_location,manual_evidence_required
7388.1,Afro Deli & Grill,verified,"In the Food Building, east wall",-93.16944,44.9803502,named_place_or_building,Food Building,0.0,,,Andy's Grille,no_named_place_match,377.2,https://www.openstreetmap.org/node/12136098524,consistent_with_written_location,retain_verified
210.1,Al's Subs & Malt Shop,verified,"East side of Nelson St. between Dan Patch & Carnes avenues, next to the Giant Slide",-93.1718193,44.9803951,street_segment,Nelson Street between Dan Patch Avenue and Carnes Avenue,12.7,Giant Slide,9.1,Al's Subs,strong_named_place,0.0,https://www.openstreetmap.org/way/177770027,consistent_with_written_location,retain_verified
792.3,Aldo's Burgers,approximate,"In the Lee & Rose Warner Coliseum, west side",-93.174896844329,44.978295168621,named_place_or_building,Lee & Rose Warner Coliseum,0.0,,,Al's Subs,no_named_place_match,325.7,https://www.openstreetmap.org/way/177770027,consistent_with_written_location,manual_evidence_required
