review_priority,risk_score,id,name,coordinate_status,compass_eligible,longitude,latitude,booth_location,map_ref,baseline_change_m,verification_distance_m,issue_codes
medium,45,5937.1,Attavio's Fries,unverified,false,-93.170450184,44.9805211,"West side of Cooper St. between Dan Patch and Judson avenues, outside the Food Building",,123.9,,written_street_corridor_conflict|large_change_from_baseline|no_independent_verification
medium,45,2031.1,Caramel Apple Sundae,unverified,false,-93.1743413865,44.9800330569,"Between Chambers & Nelson streets, just south of the Grandstand",,152.9,,written_street_corridor_conflict|large_change_from_baseline|no_independent_verification
medium,45,226.1,El Sol Mexican Foods,unverified,false,-93.170450184,44.9799973,"East side of Underwood St. between Dan Patch & Carnes avenues, outside southwest corner of the Food Building",,140.7,,written_street_corridor_conflict|large_change_from_baseline|no_independent_verification
medium,45,2196.1,Galaxy of Drinks,unverified,false,-93.1803267773,44.9799615,"West side of Liggett St., just south of Mighty Midway",,470.3,,written_street_corridor_conflict|large_change_from_baseline|no_independent_verification
medium,45,2375.1,Gass Station Grill,unverified,false,-93.169415603846,44.980195956835,"West side of Cooper St. between Dan Patch & Judson avenues, outside southeast corner of the Food Building",,0.0,,written_street_corridor_conflict|written_street_corridor_conflict|no_independent_verification
medium,45,2447.1,Gyros by G&G Concessions,unverified,false,-93.1703278568,44.985919032,Northeast corner of Lee Ave. & Underwood St.,,116.5,,written_street_corridor_conflict|large_change_from_baseline|no_independent_verification
medium,45,3986.1,Key Lime Pie Bar,unverified,false,-93.1702941,44.9792257,"West side of Cooper St., just north of the Agriculture Horticulture Building",,236.8,,written_street_corridor_conflict|large_change_from_baseline|no_independent_verification
medium,45,11408.1,Kiwanis Malts,unverified,false,-93.16738162,44.98408535,East side of Cosgrove St. between the Fine Arts Center & 4-H Building,,151.2,,written_street_corridor_conflict|large_change_from_baseline|no_independent_verification
medium,45,3077.1,Poncho Dogs,unverified,false,-93.1728234,44.979217828,"South side of Carnes Ave. between Clough & Nelson streets, in front of the DNR Building",,178.1,,written_street_corridor_conflict|large_change_from_baseline|no_independent_verification
medium,45,1509.4,The Big Cheese Cheese Curds,unverified,false,-93.1802250627,44.9799615,"West side of Liggett St. at Carnes Ave., just south of Mighty Midway",,284.1,,written_street_corridor_conflict|large_change_from_baseline|no_independent_verification
medium,40,7741.1,Jive Turkey BBQ,approximate,false,-93.1699960316,44.9859884093,North side of Lee Ave. between Underwood & Cooper streets,,88.1,0.0,written_street_corridor_conflict|large_change_from_baseline
medium,25,2114.1,3B Fresh Squeezed Lemonade & Foot Long Corn Dogs,unverified,false,-93.1754730684,44.9787608639,West side of Liggett St. between Carnes & Judson avenues,,104.1,,large_change_from_baseline|no_independent_verification
medium,25,6449.2,About a Foot Long Hot Dog,unverified,false,-93.1704258568,44.978478168,Southeast corner of Judson Ave. & Underwood St.,,139.7,,large_change_from_baseline|no_independent_verification
medium,25,5177.1,Auntie M's Gluten Free,unverified,false,-93.1722657289,44.9785114612,"South side of Judson Ave. between Nelson & Underwood streets, just west of Adventure Park",,114.7,,large_change_from_baseline|no_independent_verification
medium,25,1899.1,Australian Battered Potatoes,unverified,false,-93.1721004427,44.9785114612,South side of Judson Ave. between Nelson & Underwood streets,,88.4,,large_change_from_baseline|no_independent_verification
medium,25,1783.1,Big Dog Corndogs,unverified,false,-93.1703536568,44.984474232,Northeast corner of Randall Ave. & Underwood St.,,103.5,,large_change_from_baseline|no_independent_verification
medium,25,1783.2,Big Dog Corndogs,unverified,false,-93.1706607419,44.9795096801,West side of Underwood St. between Carnes & Judson avenues,,63.7,,large_change_from_baseline|no_independent_verification
medium,25,5733.3,Bridge N' Barrel Root Beer,unverified,false,-93.1692528432,44.983338432,Northwest corner of Wright Ave. & Cooper St.,,99.6,,large_change_from_baseline|no_independent_verification
medium,25,5733.4,Bridge N' Barrel Root Beer,unverified,false,-93.1706801432,44.978658032,Northwest corner of Judson Ave. & Underwood St.,,72.6,,large_change_from_baseline|no_independent_verification
medium,25,5733.5,Bridge N' Barrel Root Beer,unverified,false,-93.1706079432,44.984474232,Northwest corner of Randall & Underwood streets,,85.8,,large_change_from_baseline|no_independent_verification
medium,25,5733.6,Bridge N' Barrel Root Beer,unverified,false,-93.1679656568,44.981216832,Northeast corner of Dan Patch Ave & Cosgrove St.,,155.9,,large_change_from_baseline|no_independent_verification
medium,25,1996.1,Bridgeman's Ice Cream,unverified,false,-93.1752281568,44.978658932,Northeast corner of Judson Ave. & Liggett St.,,117.1,,large_change_from_baseline|no_independent_verification
medium,25,2005.1,Buni's,unverified,false,-93.1754824432,44.978658932,Northwest corner of Judson Ave. & Liggett St.,,78.0,,large_change_from_baseline|no_independent_verification
medium,25,2029.1,Candy Factory,unverified,false,-93.1689313568,44.987286232,Northeast corner of Murphy Ave. & Cooper St.,,124.0,,large_change_from_baseline|no_independent_verification
medium,25,2037.1,Caribbean Smoothees,unverified,false,-93.1754414716,44.9798674,West side of Liggett St. between Carnes & Judson avenues,,81.4,,large_change_from_baseline|no_independent_verification
medium,25,2065.1,Chan's Chicken On A Stick,unverified,false,-93.1721767286,44.9785426146,South side of Judson Ave. between Nelson & Underwood streets,,86.1,,large_change_from_baseline|no_independent_verification
medium,25,9238.1,Chan's Eatery,unverified,false,-93.1703370205,44.9868465179,East side of Underwood St. between Murphy & Lee avenues,,103.7,,large_change_from_baseline|no_independent_verification
medium,25,2075.1,Chicago Dogs,unverified,false,-93.1702122427,44.9809236,"In The Garden, east wall",,146.4,,large_change_from_baseline|no_independent_verification
medium,25,3505.1,Cotton Candy 7 Different Flavors,unverified,false,-93.1703990568,44.981034668,Southeast corner of Dan Patch Ave. & Underwood St.,,119.2,,large_change_from_baseline|no_independent_verification
medium,25,2069.2,Crutchees Cheese on a Stick,unverified,false,-93.1752373568,44.980627468,southeast corner of West Dan Patch Ave. & Liggett St.,,102.8,,large_change_from_baseline|no_independent_verification
medium,25,2770.2,Dairy Goodness,unverified,false,-93.1709963,44.977899148,"In the Dairy Building, south wall",,115.9,,large_change_from_baseline|no_independent_verification
medium,25,2182.1,Daryl's Dog House,unverified,false,-93.1715561959,44.9798067782,South side of Carnes Ave. between Nelson & Underwood streets,,73.0,,large_change_from_baseline|no_independent_verification
medium,25,2192.1,Deep Fried Candy Bars,unverified,false,-93.1720944,44.9799665388,North side of Carnes Ave. between Nelson & Underwood streets,,112.3,,large_change_from_baseline|no_independent_verification
medium,25,2198.1,Demetri's Fine Greek Foods,unverified,false,-93.1717027711,44.9811464,East side of Nelson St. between Dan Patch & Carnes avenues,,131.5,,large_change_from_baseline|no_independent_verification
medium,25,2208.1,Dippin' Dots,unverified,false,-93.1705436,44.9798107612,South side of Carnes Ave. between Nelson & Underwood streets,,73.6,,large_change_from_baseline|no_independent_verification
medium,25,10312.2,El Burrito Mercado,unverified,false,-93.1689079927,44.97799,"At the International Bazaar, south wall",,144.5,,large_change_from_baseline|no_independent_verification
medium,25,2279.1,Falafel King,unverified,false,-93.1698500927,44.9801137,"In the Food Building, south wall",,113.1,,large_change_from_baseline|no_independent_verification
medium,25,2305.1,Fish & Chips Seafood Shoppe,unverified,false,-93.1701043677,44.9807636,"In the Food Building, northwest section",,161.8,,large_change_from_baseline|no_independent_verification
