review_priority,risk_score,id,name,coordinate_status,compass_eligible,longitude,latitude,booth_location,map_ref,baseline_change_m,verification_distance_m,issue_codes
critical,100,2340.1,Fresh French Fries,missing,false,,,"Diet Coke, Dasani bottled water, french fries made from fresh-cut potatoes, Sprite, Cherry Coke, Coca-Cola.",,,,missing_coordinate|no_independent_verification
critical,100,3645.1,The Mouth Trap Cheese Curds,missing,false,,,"battered deep-fried cheese curds, Coca-Cola, Sprite, bottled water, Diet Coke, Mello Yello.",,,,missing_coordinate|no_independent_verification
high,95,225.1,Donna's Bar-B-Q,unverified,false,-93.176128414024,44.978879925943,Southwest corner of Judson Ave. & Liggett St.,,0.0,,same_written_location_spread|written_street_corridor_conflict|written_street_corridor_conflict|no_independent_verification
high,95,2120.3,L & B Cotton Candy,unverified,false,-93.173305503862,44.979180010169,Southwest corner of Carnes Ave. & Nelson St.,,0.0,,same_written_location_spread|written_street_corridor_conflict|written_street_corridor_conflict|no_independent_verification
high,95,3089.1,The Perfect Pickle,unverified,false,-93.176561437821,44.979607175277,Southwest corner of West Dan Patch Ave. & Liggett St.,,0.0,,same_written_location_spread|written_street_corridor_conflict|written_street_corridor_conflict|no_independent_verification
high,75,210.1,Al's Subs & Malt Shop,unverified,false,-93.171090976923,44.979673648078,"East side of Nelson St. between Dan Patch & Carnes avenues, next to the Giant Slide",,0.0,,same_written_location_spread|written_street_corridor_conflict|no_independent_verification
high,75,1932.1,Bayou Bob's Gator Shack,unverified,false,-93.170869569058,44.981504357749,Southeast corner of Dan Patch Ave. & Nelson St.,,0.0,,same_written_location_spread|written_street_corridor_conflict|no_independent_verification
high,75,2142.1,Cream Puffs,unverified,false,-93.176959426923,44.981571583989,Southwest corner of West Dan Patch Ave. & Liggett St.,,0.0,,same_written_location_spread|written_street_corridor_conflict|no_independent_verification
high,75,2069.1,Crutchees Cheese on a Stick,unverified,false,-93.172811082121,44.979675006557,Northeast corner of Judson Ave. & Nelson St.,,0.0,,same_written_location_spread|written_street_corridor_conflict|no_independent_verification
high,75,3340.2,Deep Fried Batter Dipped Twinkies & Buckeyes,unverified,false,-93.168243092308,44.98129663426,East side of Cooper St. outside the Merch Market,,0.0,,same_written_location_spread|written_street_corridor_conflict|no_independent_verification
high,75,3280.1,Elm's Shaved Ice,unverified,false,-93.174915817949,44.97934577134,Southwest corner of Judson Ave. & Liggett St.,,0.0,,same_written_location_spread|written_street_corridor_conflict|no_independent_verification
high,75,3008.1,Oven Fresh Brownies,unverified,false,-93.170647888462,44.981432429011,Southwest corner of Dan Patch Ave. & Cooper St.,,0.0,,same_written_location_spread|written_street_corridor_conflict|no_independent_verification
high,75,5910.1,Pickle Barrel Sirloin Tips,unverified,false,-93.171132108333,44.977706046665,Northeast corner of Judson Ave. & Nelson St.,,0.0,,same_written_location_spread|written_street_corridor_conflict|no_independent_verification
high,75,3115.1,Pronto Pups,unverified,false,-93.17391865641,44.97898113695,Southeast corner of Carnes Ave. & Liggett St.,,0.0,,same_written_location_spread|written_street_corridor_conflict|no_independent_verification
high,75,3127.1,Que Viet Concessions,unverified,false,-93.1680523,44.979881345648,East side of Cooper St. outside the Merch Market,,0.0,,same_written_location_spread|written_street_corridor_conflict|no_independent_verification
high,55,6135.1,About a Foot Long Hot Dog,unverified,false,-93.172362059615,44.97977494964,Southwest corner of Carnes Ave. & Nelson St.,,0.0,,same_written_location_spread|no_independent_verification
high,55,11505.1,Chocolate Strawberry Cup,unverified,false,-93.168669400626,44.981838912141,Southwest corner of Dan Patch Ave. & Cooper St.,,0.0,,same_written_location_spread|no_independent_verification
high,55,216.1,Coasters,unverified,false,-93.173641223397,44.980005019245,Southeast corner of Carnes Ave. & Liggett St.,,0.0,,same_written_location_spread|no_independent_verification
high,55,2112.1,Corn Roast,unverified,false,-93.172615607692,44.981575107766,Southeast corner of Dan Patch Ave. & Nelson St.,,0.0,,same_written_location_spread|no_independent_verification
high,55,3745.1,Danielson's & Daughters Onion Rings,unverified,false,-93.169038239665,44.980416825569,"Between Underwood & Cooper streets, outside south side of the Food Building",,0.0,,same_written_location_spread|no_independent_verification
high,55,2561.1,Isabel Burke's Taffy,unverified,false,-93.168946127564,44.979166683648,"Between Underwood & Cooper streets, outside south side of the Food Building",,0.0,,same_written_location_spread|no_independent_verification
high,55,2607.1,Katie's Famous Sweet Tea,unverified,false,-93.177235873077,44.980200388489,At Mighty Midway,,0.0,,duplicate_coordinate_location_conflict|no_independent_verification
high,55,2776.1,Miller's Flavored Cheese Curds,unverified,false,-93.172645433974,44.97967416281,"East side of Nelson St. between Dan Patch & Carnes avenues, next to the Giant Slide",,0.0,,same_written_location_spread|no_independent_verification
high,55,3340.1,Spaghetti Eddies,unverified,false,-93.169089246154,44.980647985612,East side of Cooper St. outside the Merch Market,,0.0,,same_written_location_spread|no_independent_verification
high,55,3394.1,Sugar Shack,unverified,false,-93.177235873077,44.980200388489,At the Mighty Midway,,0.0,,duplicate_coordinate_location_conflict|no_independent_verification
medium,45,6449.2,About a Foot Long Hot Dog,unverified,false,-93.168867953526,44.977873963109,Southeast corner of Judson Ave. & Underwood St.,,397.5,,written_street_corridor_conflict|large_change_from_baseline|no_independent_verification
medium,45,2029.1,Candy Factory,unverified,false,-93.170306136538,44.987831515847,Northeast corner of Murphy Ave. & Cooper St.,,0.0,,written_street_corridor_conflict|written_street_corridor_conflict|no_independent_verification
medium,45,3505.1,Cotton Candy 7 Different Flavors,unverified,false,-93.169209994231,44.98036970186,Southeast corner of Dan Patch Ave. & Underwood St.,,0.0,,written_street_corridor_conflict|written_street_corridor_conflict|no_independent_verification
medium,45,12663.1,dodopop,unverified,false,-93.170119228127,44.982393602691,Northeast corner of Dan Patch Ave. & Cooper St.,,0.0,,written_street_corridor_conflict|written_street_corridor_conflict|no_independent_verification
medium,45,2375.1,Gass Station Grill,unverified,false,-93.169415603846,44.980195956835,"West side of Cooper St. between Dan Patch & Judson avenues, outside southeast corner of the Food Building",,0.0,,written_street_corridor_conflict|written_street_corridor_conflict|no_independent_verification
medium,45,2120.2,L & B Cotton Candy,unverified,false,-93.171891790385,44.980366205068,Northwest corner of Dan Patch Ave. & Underwood St.,,0.0,,written_street_corridor_conflict|written_street_corridor_conflict|no_independent_verification
medium,45,3450.1,The Hangar,unverified,false,-93.171539545209,44.988320426545,"On the northeast corner of Underwood St. and Murphy Ave., at the North End",,0.0,,written_street_corridor_conflict|written_street_corridor_conflict|no_independent_verification
medium,40,10093.1,Giggles' Campfire Grill,verified,true,-93.1688586,44.9856224,Southeast corner of Lee Ave. & Cooper St. at The North Woods,,111.4,0.0,written_street_corridor_conflict|large_change_from_baseline
medium,25,12742.1,1919 Root Beer,unverified,false,-93.168967967949,44.981847907836,Southeast corner of Dan Patch Ave. & Underwood St. outside The Garden,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,9642.1,About a Foot Long Hot Dog,unverified,false,-93.168036,44.9839827,East side of Cosgrove St. between the Fine Arts Center & 4-H Building,2551-2787,126.3,,large_change_from_baseline|no_independent_verification
medium,25,9642.2,About a Foot Long Hot Dog,unverified,false,-93.1693751,44.9814141,Northwest corner of Dan Patch Ave. & Cooper St.,1908-2548,236.3,,large_change_from_baseline|no_independent_verification
medium,25,2770.1,All You Can Drink Milk,unverified,false,-93.173971454487,44.979107166116,Northeast corner of Judson Ave. & Clough St.,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,5937.1,Attavio's Fries,unverified,false,-93.17051655641,44.979407802061,"West side of Cooper St. between Dan Patch and Judson avenues, outside the Food Building",,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,11830.1,Beans & Beignets,unverified,false,-93.173685963462,44.978813280576,Northwest corner of Judson Ave. & Clough St.,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,1509.3,Bratwurst,unverified,false,-93.1722972,44.9800237,Northwest corner of Carnes Ave. & Nelson St.,1539-1982,120.6,,large_change_from_baseline|no_independent_verification
medium,25,5733.1,Bridge N' Barrel Root Beer,unverified,false,-93.171136,44.9814214,North side of Dan Patch Ave. between Nelson & Underwood streets,1893-2198,272.5,,large_change_from_baseline|no_independent_verification
