id,name,coordinate_status,booth_location,candidate_longitude,candidate_latitude,match_class,vendor_same_name_count,osm_name_match_count,osm_type,osm_id,osm_name,osm_address,osm_longitude,osm_latitude,name_score,candidate_to_osm_m,osm_url,few_feet_field_check
12742.1,1919 Root Beer,verified,Southeast corner of Dan Patch Ave. & Underwood St. outside The Garden,-93.1703352,44.9809803,exact_named_place,1,1,node,7223510632,1919 Root Beer,1676 Dan Patch Avenue,-93.170353,44.9809666,1.0,2.1,https://www.openstreetmap.org/node/7223510632,recommended
2114.1,3B Fresh Squeezed Lemonade & Foot Long Corn Dogs,withheld,West side of Liggett St. between Carnes & Judson avenues,-93.174149666026,44.978771392184,no_named_place_match,1,0,node,12148877487,Corn,,-93.1706031,44.9854069,0.92,788.8,https://www.openstreetmap.org/node/12148877487,required
6135.1,About a Foot Long Hot Dog,missing,Southwest corner of Carnes Ave. & Nelson St.,,,ambiguous_vendor_identity,5,1,node,13084655197,About a Foot Long Hot Dog,Dan Patch Avenue,-93.1694422,44.9810594,1.0,,https://www.openstreetmap.org/node/13084655197,required
6449.1,About a Foot Long Hot Dog,withheld,"South side of Judson Ave. between Liggett & Clough streets, in front of the Lee & Rose Warner Coliseum",-93.1738553,44.978449884892,ambiguous_vendor_identity,5,1,node,13084655197,About a Foot Long Hot Dog,Dan Patch Avenue,-93.1694422,44.9810594,1.0,452.4,https://www.openstreetmap.org/node/13084655197,required
9642.1,About a Foot Long Hot Dog,withheld,East side of Cosgrove St. between the Fine Arts Center & 4-H Building,-93.168036,44.9839827,ambiguous_vendor_identity,5,1,node,13084655197,About a Foot Long Hot Dog,Dan Patch Avenue,-93.1694422,44.9810594,1.0,343.4,https://www.openstreetmap.org/node/13084655197,required
9642.2,About a Foot Long Hot Dog,withheld,Northwest corner of Dan Patch Ave. & Cooper St.,-93.1693751,44.9814141,ambiguous_vendor_identity,5,1,node,13084655197,About a Foot Long Hot Dog,Dan Patch Avenue,-93.1694422,44.9810594,1.0,39.8,https://www.openstreetmap.org/node/13084655197,required
6449.2,About a Foot Long Hot Dog,withheld,Southeast corner of Judson Ave. & Underwood St.,-93.168867953526,44.977873963109,ambiguous_vendor_identity,5,1,node,13084655197,About a Foot Long Hot Dog,Dan Patch Avenue,-93.1694422,44.9810594,1.0,357.1,https://www.openstreetmap.org/node/13084655197,required
7388.1,Afro Deli & Grill,verified,"In the Food Building, east wall",-93.16944,44.9803502,no_named_place_match,1,0,node,12136098524,Andy's Grille,,-93.1741605,44.9797511,0.5806,377.2,https://www.openstreetmap.org/node/12136098524,required
210.1,Al's Subs & Malt Shop,verified,"East side of Nelson St. between Dan Patch & Carnes avenues, next to the Giant Slide",-93.1718193,44.9803951,strong_named_place,1,0,way,177770027,Al's Subs,1306 Nelson Street,-93.1718348,44.9803974,0.92,1.2,https://www.openstreetmap.org/way/177770027,recommended
792.3,Aldo's Burgers,withheld,"In the Lee & Rose Warner Coliseum, west side",-93.174896844329,44.978295168621,no_named_place_match,1,0,way,177770027,Al's Subs,1306 Nelson Street,-93.1718348,44.9803974,0.5714,335.6,https://www.openstreetmap.org/way/177770027,required
2770.1,All You Can Drink Milk,verified,Northeast corner of Judson Ave. & Clough St.,-93.1733688,44.9786946,exact_named_place,1,1,way,177770097,All You Can Drink Milk,1759 Judson Avenue,-93.1734121,44.9787359,1.0,5.7,https://www.openstreetmap.org/way/177770097,recommended
