batch_position,id,name,outcome,old_coordinates,new_coordinates,delta_m,reason,official_url,independent_url,reviewed_on
1,6449.2,About a Foot Long Hot Dog,insufficient_evidence,,,0,"Multiple same-name fair records and no record-specific independent booth pin; unsafe to collapse locations.",https://www.mnstatefair.org/vendor/6449.2/,,2026-08-29
2,5733.6,Bridge N' Barrel Root Beer,insufficient_evidence,,,0,"Five same-name fair records and no record-specific independent booth pin; unsafe to collapse locations.",https://www.mnstatefair.org/vendor/5733.6/,,2026-08-29
3,2029.1,Candy Factory,insufficient_evidence,,,0,"Exact-place search returned off-site candy stores or the fairgrounds, not this booth.",https://www.mnstatefair.org/vendor/2029.1/,https://www.google.com/maps/search/Candy%20Factory%20Minnesota%20State%20Fair,2026-08-29
4,3505.1,Cotton Candy 7 Different Flavors,insufficient_evidence,,,0,"Generic product name produced no record-specific booth place or address.",https://www.mnstatefair.org/vendor/3505.1/,,2026-08-29
5,12663.1,dodopop,verified_corrected,"-93.170119228127 44.982393602691","-93.1689113 44.981417",144.4,"Exact fairgrounds place pin matches official directions and operator fair page; off-site result excluded.",https://www.mnstatefair.org/vendor/12663.1/,https://www.google.com/maps/place/dodopop/data=!4m7!3m6!1s0x52b32b0079db2331:0x7d05a8f1b3b189e6!8m2!3d44.981417!4d-93.1689113,2026-08-29
6,2375.1,Gass Station Grill,insufficient_evidence,,,0,"Search resolved generic grills and other fair booths, not an exact Gass Station Grill place.",https://www.mnstatefair.org/vendor/2375.1/,,2026-08-29
7,2120.2,L & B Cotton Candy,insufficient_evidence,,,0,"Multiple same-name fair records and no record-specific independent booth pin; unsafe to collapse locations.",https://www.mnstatefair.org/vendor/2120.2/,,2026-08-29
8,2114.1,3B Fresh Squeezed Lemonade & Foot Long Corn Dogs,insufficient_evidence,,,0,"Product-style name produced no exact booth place or independent address.",https://www.mnstatefair.org/vendor/2114.1/,,2026-08-29
9,9642.1,About a Foot Long Hot Dog,insufficient_evidence,,,0,"Multiple same-name fair records and no record-specific independent booth pin; unsafe to collapse locations.",https://www.mnstatefair.org/vendor/9642.1/,,2026-08-29
10,9642.2,About a Foot Long Hot Dog,insufficient_evidence,,,0,"Multiple same-name fair records and no record-specific independent booth pin; unsafe to collapse locations.",https://www.mnstatefair.org/vendor/9642.2/,,2026-08-29
11,5937.1,Attavio's Fries,insufficient_evidence,,,0,"Exact-place search returned the Food Building and unrelated fry stands, not this booth.",https://www.mnstatefair.org/vendor/5937.1/,https://www.google.com/maps/search/Attavio%27s%20Fries%20Minnesota%20State%20Fair,2026-08-29
12,11830.1,Beans & Beignets,insufficient_evidence,,,0,"Search resolved French Meadow and the Food Building rather than an exact Beans & Beignets booth.",https://www.mnstatefair.org/vendor/11830.1/,,2026-08-29
13,1509.3,Bratwurst,insufficient_evidence,,,0,"Generic product name produced no record-specific booth place or address.",https://www.mnstatefair.org/vendor/1509.3/,https://www.google.com/maps/search/Bratwurst%20Minnesota%20State%20Fair,2026-08-29
14,5733.1,Bridge N' Barrel Root Beer,insufficient_evidence,,,0,"Five same-name fair records and no record-specific independent booth pin; unsafe to collapse locations.",https://www.mnstatefair.org/vendor/5733.1/,,2026-08-29
