batch_position,id,name,outcome,candidate_coordinates,written_constraint_distance_m,identity_anchor,identity_distance_m,reason,official_url,independent_url,reviewed_on,next_action
1,616.1,Ball Park Cafe,reopened_withheld,"-93.1700734 44.9803924",36.4,Ball Park Cafe,22.3,"The manually reviewed point is better than the fair GeoJSON candidate 121.1 m away but still lacks coordinate agreement within 10 m; the OSM permanent-venue point is 22.3 m away.",https://www.mnstatefair.org/vendor/616.1/,https://www.openstreetmap.org/node/7223510630,2026-08-29,"Capture entrance GPS/photo or obtain a second booth-level coordinate"
2,7099.1,Carousel BBQ,reopened_withheld,"-93.1749722 44.9806423",39.8,Carousel,162.2,"The Google candidate conflicts with the modeled Chambers segment; the similarly named OSM Carousel is an unrelated feature and no second booth coordinate was found.",https://www.mnstatefair.org/vendor/7099.1/,https://www.google.com/maps/search/?api=1&query=44.9806423,-93.1749722,2026-08-29,"Capture booth GPS/photo or obtain a second booth-level coordinate"
3,2142.1,Cream Puffs,reopened_withheld,"-93.1760149 44.9805332",55.1,,,"The Google point is outside the modeled corner and falls at an address shared with another mapped fairground building; no second booth coordinate was found.",https://www.mnstatefair.org/vendor/2142.1/,https://www.google.com/maps/search/?api=1&query=44.9805332,-93.1760149,2026-08-29,"Capture booth entrance GPS/photo"
4,12663.1,dodopop,reopened_withheld,"-93.1689113 44.981417",38.7,,,"The current fairgrounds Google result and operator page support identity but do not provide two independent booth coordinates within 10 m.",https://www.mnstatefair.org/vendor/12663.1/,https://www.dodopopdrinks.com/mn-statefair,2026-08-29,"Capture booth GPS/photo or obtain a second booth-level coordinate"
5,4752.1,Fluffy's Hand Cut Donuts,reopened_withheld,"-93.1747099 44.9800099",32.7,,,"The Google result remains outside the 30 m corner gate and no independent second coordinate was found.",https://www.mnstatefair.org/vendor/4752.1/,https://www.google.com/maps/search/?api=1&query=44.9800099,-93.1747099,2026-08-29,"Capture booth GPS/photo or obtain a second booth-level coordinate"
6,11056.1,Roon's Savories,reopened_withheld,"-93.1752848 44.9781329",48.8,,,"Google supplies one coordinate and the operator supplies written location support, but no second coordinate agrees within 10 m.",https://www.mnstatefair.org/vendor/11056.1/,https://roonssavories.com/,2026-08-29,"Capture booth GPS/photo or obtain a second booth-level coordinate"
7,3398.1,Summer Lakes Boat House,reopened_withheld,"-93.1707496 44.9840099",46.7,,,"The vendor is both new and a location change; Google supplies one coordinate but the operator does not provide an independent coordinate within 10 m.",https://www.mnstatefair.org/vendor/3398.1/,https://summerlakesbeverage.com/mn-state-fair/,2026-08-29,"Capture booth GPS/photo or obtain a second booth-level coordinate"
8,3684.1,Hamline Church Dining Hall,retained_verified_identity_geometry_exception,"-93.1698412 44.9814379",35.3,Hamline Church Dining Hall,0.0,"The candidate is inside the exact OSM dining-hall building and is independently supported by the exact Google place and operator venue history; the road-centerline result is a documented model conflict.",https://www.mnstatefair.org/vendor/3684.1/,https://www.openstreetmap.org/way/177770015,2026-08-29,"Retain; entrance photo remains useful for few-feet precision"
9,4847.1,JJ Vescio's,retained_verified_identity_geometry_exception,"-93.1738345 44.9807007",41.3,Vescio's at the Fair,0.0,"The candidate is inside the strong OSM identity building and Google and OSM place coordinates agree within 3.9 m; the road-centerline result is a false alarm.",https://www.mnstatefair.org/vendor/4847.1/,https://www.openstreetmap.org/way/177770119,2026-08-29,"Retain"
10,2878.1,Minnesota Farmers Union Coffee Shop,retained_verified_identity_geometry_exception,"-93.1685723 44.9814844",40.3,Farmers Union,0.0,"The candidate is inside the strong OSM identity building and Google and OSM agree within 4.9 m with operator address support.",https://www.mnstatefair.org/vendor/2878.1/,https://www.openstreetmap.org/way/177770111,2026-08-29,"Retain"
11,256.1,O'Gara's at the Fair,retained_verified_identity_geometry_exception,"-93.1684059 44.9809198",33.7,O'Gara's at the Fair,0.0,"The candidate is inside the exact OSM building and Google and OSM agree within 7.3 m with independent written-location support.",https://www.mnstatefair.org/vendor/256.1/,https://www.openstreetmap.org/way/71279706,2026-08-29,"Retain"
12,3217.1,RC's BBQ,retained_verified_identity_geometry_exception,"-93.1748973 44.9811008",39.0,RC's BBQ,0.0,"The candidate is inside the exact OSM building and Google and OSM agree within 7.6 m with operator support.",https://www.mnstatefair.org/vendor/3217.1/,https://www.openstreetmap.org/way/177770031,2026-08-29,"Retain"
