batch_position,id,name,outcome,old_coordinates,new_coordinates,delta_m,reason,official_url,independent_url,reviewed_on
1,6135.1,About a Foot Long Hot Dog,insufficient_evidence,,,0,"Public-map search returned no booth-level coordinate that safely resolves this indoor, zone-only, or source-missing record.",https://www.mnstatefair.org/vendor/6135.1,,2026-08-29
2,1328.1,The Anchor Coffee House,insufficient_evidence,,,0,"Search resolved the off-site Anchor Coffee House, not a fair booth; the fair candidate stays withheld.",https://www.mnstatefair.org/vendor/1328.1,,2026-08-29
3,11505.1,Chocolate Strawberry Cup,insufficient_evidence,,,0,"Public-map search returned no booth-level coordinate that safely resolves this indoor, zone-only, or source-missing record.",https://www.mnstatefair.org/vendor/11505.1,,2026-08-29
4,2069.1,Crutchees Cheese on a Stick,insufficient_evidence,,,0,"Public-map search returned no booth-level coordinate that safely resolves this indoor, zone-only, or source-missing record.",https://www.mnstatefair.org/vendor/2069.1,,2026-08-29
5,3745.1,Danielson's & Daughters Onion Rings,insufficient_evidence,,,0,"Public-map search returned no booth-level coordinate that safely resolves this indoor, zone-only, or source-missing record.",https://www.mnstatefair.org/vendor/3745.1,,2026-08-29
6,2182.1,Daryl's Dog House,insufficient_evidence,,,0,No record-specific public-map coordinate both matched the vendor identity and the fair's written location; the conflicting source candidate stays withheld.,https://www.mnstatefair.org/vendor/2182.1,,2026-08-29
7,3340.2,Deep Fried Batter Dipped Twinkies & Buckeyes,insufficient_evidence,,,0,"Public-map search returned no booth-level coordinate that safely resolves this indoor, zone-only, or source-missing record.",https://www.mnstatefair.org/vendor/3340.2,,2026-08-29
8,2208.1,Dippin' Dots,insufficient_evidence,,,0,No record-specific public-map coordinate both matched the vendor identity and the fair's written location; the conflicting source candidate stays withheld.,https://www.mnstatefair.org/vendor/2208.1,,2026-08-29
9,3448.1,The Donut Family,insufficient_evidence,,,0,No record-specific public-map coordinate both matched the vendor identity and the fair's written location; the conflicting source candidate stays withheld.,https://www.mnstatefair.org/vendor/3448.1,,2026-08-29
10,10312.2,El Burrito Mercado,insufficient_evidence,,,0,"Search resolved the off-site El Burrito Mercado business, not its fair booth; the fair candidate stays withheld.",https://www.mnstatefair.org/vendor/10312.2,,2026-08-29
11,3280.1,Elm's Shaved Ice,insufficient_evidence,,,0,"Public-map search returned no booth-level coordinate that safely resolves this indoor, zone-only, or source-missing record.",https://www.mnstatefair.org/vendor/3280.1,,2026-08-29
12,2279.1,Falafel King,insufficient_evidence,,,0,No record-specific public-map coordinate both matched the vendor identity and the fair's written location; the conflicting source candidate stays withheld.,https://www.mnstatefair.org/vendor/2279.1,,2026-08-29
13,2305.1,Fish & Chips Seafood Shoppe,rejected_conflicting_public_map_candidate,,,0,The exact Fish & Chips plus-code cell is about 398 m outside the Food Building; rejected.,https://www.mnstatefair.org/vendor/2305.1,https://www.google.com/maps/search/?api=1&query=Fish%20%26%20Chips%20Seafood%20Shoppe%20Minnesota%20State%20Fair,2026-08-29
14,228.1,Flowering Onions,candidate_improved_keep_withheld,-93.171675476923 44.978488860759,-93.1715625 44.9786875,23.8,Exact Flowering Onions panel and 1711 Judson address agree with the written segment; one coordinate publisher is insufficient for navigation.,https://www.mnstatefair.org/vendor/228.1,https://www.google.com/maps/search/?api=1&query=Flowering%20Onions%20Minnesota%20State%20Fair,2026-08-29
15,2340.1,Fresh French Fries,insufficient_evidence,,,0,"Search resolved the 1701 Judson Fresh French Fries stand, not the separate Mighty Midway record; no safe candidate was assigned.",https://www.mnstatefair.org/vendor/2340.1,,2026-08-29
16,2340.2,Fresh French Fries,candidate_improved_keep_withheld,-93.1721257136 44.978316157072,-93.1711875 44.9788125,92.1,Exact Fresh French Fries panel at 1701 Judson improves the candidate and is near the written segment; a second booth coordinate is still missing.,https://www.mnstatefair.org/vendor/2340.2,https://www.google.com/maps/search/?api=1&query=Fresh%20French%20Fries%20Minnesota%20State%20Fair,2026-08-29
17,217.1,Fresh Made Nut Rolls,insufficient_evidence,,,0,No record-specific public-map coordinate both matched the vendor identity and the fair's written location; the conflicting source candidate stays withheld.,https://www.mnstatefair.org/vendor/217.1,,2026-08-29
18,2342.1,Fried Olives On A Stick,insufficient_evidence,,,0,Public-map search did not expose a second record-specific booth coordinate; the geometry-consistent candidate stays withheld.,https://www.mnstatefair.org/vendor/2342.1,,2026-08-29
19,2359.1,Funnel Cakes,rejected_conflicting_public_map_candidate,,,0,The exact Funnel Cakes result is 65.8 m outside the Food Building; rejected as a different or stale stand.,https://www.mnstatefair.org/vendor/2359.1,https://www.google.com/maps/search/?api=1&query=Funnel%20Cakes%20Minnesota%20State%20Fair,2026-08-29
20,3255.1,German Root Beer and Popcorn,insufficient_evidence,,,0,No record-specific public-map coordinate both matched the vendor identity and the fair's written location; the conflicting source candidate stays withheld.,https://www.mnstatefair.org/vendor/3255.1,,2026-08-29
21,10990.1,Gopher Dairy Bar,insufficient_evidence,,,0,No record-specific public-map coordinate both matched the vendor identity and the fair's written location; the conflicting source candidate stays withheld.,https://www.mnstatefair.org/vendor/10990.1,,2026-08-29
22,2415.1,Grandstand Mini Donuts,insufficient_evidence,,,0,No record-specific public-map coordinate both matched the vendor identity and the fair's written location; the conflicting source candidate stays withheld.,https://www.mnstatefair.org/vendor/2415.1,,2026-08-29
23,11704.1,Granny's Apples + Lemonade,candidate_improved_keep_withheld,-93.171167395513 44.979968400415,-93.1703125 44.9803125,77.4,Exact Granny's Apples + Lemonade panel moves the candidate into the Food Building; west-wall booth precision remains unconfirmed.,https://www.mnstatefair.org/vendor/11704.1,https://www.google.com/maps/search/?api=1&query=Granny%27s%20Apples%20%2B%20Lemonade%20Minnesota%20State%20Fair,2026-08-29
24,2447.1,Gyros by G&G Concessions,insufficient_evidence,,,0,No record-specific public-map coordinate both matched the vendor identity and the fair's written location; the conflicting source candidate stays withheld.,https://www.mnstatefair.org/vendor/2447.1,,2026-08-29
25,2477.1,Hawaiian Shaved Ice,insufficient_evidence,,,0,No record-specific public-map coordinate both matched the vendor identity and the fair's written location; the conflicting source candidate stays withheld.,https://www.mnstatefair.org/vendor/2477.1,,2026-08-29
26,5836.1,The Herbivorous Butcher,insufficient_evidence,,,0,"Search resolved the off-site Herbivorous Butcher business, not its fair booth; the fair candidate stays withheld.",https://www.mnstatefair.org/vendor/5836.1,,2026-08-29
27,3689.1,Holy Land,insufficient_evidence,,,0,No record-specific public-map coordinate both matched the vendor identity and the fair's written location; the conflicting source candidate stays withheld.,https://www.mnstatefair.org/vendor/3689.1,,2026-08-29
28,2196.2,Ice Cold Root Beer,insufficient_evidence,,,0,No record-specific public-map coordinate both matched the vendor identity and the fair's written location; the conflicting source candidate stays withheld.,https://www.mnstatefair.org/vendor/2196.2,,2026-08-29
29,13242.1,Iemochi Japanese Confections,rejected_conflicting_public_map_candidate,,,0,The exact Iemochi result is about 383 m from the International Bazaar; rejected.,https://www.mnstatefair.org/vendor/13242.1,https://www.google.com/maps/search/?api=1&query=Iemochi%20Japanese%20Confections%20Minnesota%20State%20Fair,2026-08-29
30,2569.1,iPierogi,insufficient_evidence,,,0,Public-map search did not expose a second record-specific booth coordinate; the geometry-consistent candidate stays withheld.,https://www.mnstatefair.org/vendor/2569.1,,2026-08-29
31,2561.1,Isabel Burke's Taffy,insufficient_evidence,,,0,"Public-map search returned no booth-level coordinate that safely resolves this indoor, zone-only, or source-missing record.",https://www.mnstatefair.org/vendor/2561.1,,2026-08-29
32,239.1,The Jerky Shoppe,insufficient_evidence,,,0,"Public-map search returned no booth-level coordinate that safely resolves this indoor, zone-only, or source-missing record.",https://www.mnstatefair.org/vendor/239.1,,2026-08-29
33,3695.1,JonnyPops,insufficient_evidence,,,0,"Public-map search returned no booth-level coordinate that safely resolves this indoor, zone-only, or source-missing record.",https://www.mnstatefair.org/vendor/3695.1,,2026-08-29
34,2604.1,Juanita's Fajitas,rejected_conflicting_public_map_candidate,,,0,The exact Juanita's result remains 38.7 m from Nelson Street and conflicts with the required west-side location; rejected pending field review.,https://www.mnstatefair.org/vendor/2604.1,https://www.google.com/maps/search/?api=1&query=Juanita%27s%20Fajitas%20Minnesota%20State%20Fair,2026-08-29
35,2122.2,Kathie's Cotton Candy,insufficient_evidence,,,0,No record-specific public-map coordinate both matched the vendor identity and the fair's written location; the conflicting source candidate stays withheld.,https://www.mnstatefair.org/vendor/2122.2,,2026-08-29
36,2122.3,Kathie's Cotton Candy,insufficient_evidence,,,0,Public-map search did not expose a second record-specific booth coordinate; the geometry-consistent candidate stays withheld.,https://www.mnstatefair.org/vendor/2122.3,,2026-08-29
37,2607.1,Katie's Famous Sweet Tea,insufficient_evidence,,,0,Public-map search did not expose a second record-specific booth coordinate; the geometry-consistent candidate stays withheld.,https://www.mnstatefair.org/vendor/2607.1,,2026-08-29
38,3986.1,Key Lime Pie Bar,insufficient_evidence,,,0,No record-specific public-map coordinate both matched the vendor identity and the fair's written location; the conflicting source candidate stays withheld.,https://www.mnstatefair.org/vendor/3986.1,,2026-08-29
39,10432.1,Kosharina Egyptian Cuisine,insufficient_evidence,,,0,Public-map search did not expose a second record-specific booth coordinate; the geometry-consistent candidate stays withheld.,https://www.mnstatefair.org/vendor/10432.1,,2026-08-29
40,2120.3,L & B Cotton Candy,insufficient_evidence,,,0,"Public-map search returned no booth-level coordinate that safely resolves this indoor, zone-only, or source-missing record.",https://www.mnstatefair.org/vendor/2120.3,,2026-08-29
41,241.1,Leimon's Pizzeria,insufficient_evidence,,,0,Public-map search did not expose a second record-specific booth coordinate; the geometry-consistent candidate stays withheld.,https://www.mnstatefair.org/vendor/241.1,,2026-08-29
42,5171.1,Libby's Ice Cream & Co.,insufficient_evidence,,,0,No record-specific public-map coordinate both matched the vendor identity and the fair's written location; the conflicting source candidate stays withheld.,https://www.mnstatefair.org/vendor/5171.1,,2026-08-29
43,2681.1,Libby's Soft Serve 16 Flavors,insufficient_evidence,,,0,Public-map search did not expose a second record-specific booth coordinate; the geometry-consistent candidate stays withheld.,https://www.mnstatefair.org/vendor/2681.1,,2026-08-29
44,3477.1,Licorice Ropes,insufficient_evidence,,,0,"Public-map search returned no booth-level coordinate that safely resolves this indoor, zone-only, or source-missing record.",https://www.mnstatefair.org/vendor/3477.1,,2026-08-29
